file,class,method,variable,usage
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"setupKeyToScalarStage/3[io.mantisrx.runtime.KeyToScalar<K,T,R>,io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.MantisGroup<K,T>>>,io.mantisrx.runtime.executor.Context]",logger,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"executeGroupsInParallel/4[io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.GroupedObservable<K,T>>,io.mantisrx.runtime.executor.Computation,io.mantisrx.runtime.executor.Context,long]",logger,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"executeGroupsInParallel/4[io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.GroupedObservable<K,T>>,io.mantisrx.runtime.executor.Computation,io.mantisrx.runtime.executor.Context,long]",groupsExpiredCounter,2
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"setupScalarToGroupStage/3[io.mantisrx.runtime.ScalarToGroup<K,T,R>,io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.Observable<T>>,io.mantisrx.runtime.executor.Context]",logger,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"executeInnersInParallel/6[io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.Observable<T>>,io.mantisrx.runtime.executor.Computation,io.mantisrx.runtime.executor.Context,boolean,long,int]",logger,2
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"setupScalarToKeyStage/3[io.mantisrx.runtime.ScalarToKey<K,T,R>,io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.Observable<T>>,io.mantisrx.runtime.executor.Context]",logger,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"resolveStageConcurrency/2[io.mantisrx.runtime.executor.Context,int]",logger,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"executeMantisGroups/4[io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.MantisGroup<K,T>>>,io.mantisrx.runtime.executor.Computation,io.mantisrx.runtime.executor.Context,long]",logger,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"executeInners/5[io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.Observable<T>>,io.mantisrx.runtime.executor.Computation,io.mantisrx.runtime.executor.Context,boolean,long]",logger,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"executeMantisGroupsInParallel/6[io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.MantisGroup<K,T>>>,io.mantisrx.runtime.executor.Computation,io.mantisrx.runtime.executor.Context,boolean,long,int]",logger,2
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"setupGroupToScalarStage/3[io.mantisrx.runtime.GroupToScalar<K,T,R>,io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.MantisGroup<K,T>>>,io.mantisrx.runtime.executor.Context]",logger,2
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"setupScalarToScalarStage/3[io.mantisrx.runtime.ScalarToScalar<T,R>,io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.Observable<T>>,io.mantisrx.runtime.executor.Context]",logger,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\jobcluster\proto\JobClusterManagerProto.java,io.mantisrx.master.jobcluster.proto.JobClusterManagerProto$GetJobSchedInfoRequest,hashCode/0,jobId,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\jobcluster\proto\JobClusterManagerProto.java,io.mantisrx.master.jobcluster.proto.JobClusterManagerProto$GetJobSchedInfoRequest,GetJobSchedInfoRequest/1[io.mantisrx.server.master.domain.JobId],jobId,3
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\jobcluster\proto\JobClusterManagerProto.java,io.mantisrx.master.jobcluster.proto.JobClusterManagerProto$GetJobSchedInfoRequest,getJobId/0,jobId,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\jobcluster\proto\JobClusterManagerProto.java,io.mantisrx.master.jobcluster.proto.JobClusterManagerProto$GetJobSchedInfoRequest,toString/0,jobId,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\jobcluster\proto\JobClusterManagerProto.java,io.mantisrx.master.jobcluster.proto.JobClusterManagerProto$GetJobSchedInfoRequest,equals/1[java.lang.Object],jobId,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\akka\MeteredMessageQueue.java,io.mantisrx.master.akka.MeteredMessageQueue,dequeue/0,waitTimer,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\akka\MeteredMessageQueue.java,io.mantisrx.master.akka.MeteredMessageQueue,dequeue/0,queue,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\akka\MeteredMessageQueue.java,io.mantisrx.master.akka.MeteredMessageQueue,numberOfMessages/0,queue,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\akka\MeteredMessageQueue.java,io.mantisrx.master.akka.MeteredMessageQueue,"enqueue/2[io.mantisrx.master.akka.ActorRef,io.mantisrx.master.akka.Envelope]",insertCounter,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\akka\MeteredMessageQueue.java,io.mantisrx.master.akka.MeteredMessageQueue,"enqueue/2[io.mantisrx.master.akka.ActorRef,io.mantisrx.master.akka.Envelope]",queue,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\akka\MeteredMessageQueue.java,io.mantisrx.master.akka.MeteredMessageQueue,hasMessages/0,queue,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\akka\MeteredMessageQueue.java,io.mantisrx.master.akka.MeteredMessageQueue,MeteredMessageQueue/1[java.lang.String],path,7
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\akka\MeteredMessageQueue.java,io.mantisrx.master.akka.MeteredMessageQueue,MeteredMessageQueue/1[java.lang.String],waitTimer,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\akka\MeteredMessageQueue.java,io.mantisrx.master.akka.MeteredMessageQueue,MeteredMessageQueue/1[java.lang.String],insertCounter,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\akka\MeteredMessageQueue.java,io.mantisrx.master.akka.MeteredMessageQueue,MeteredMessageQueue/1[java.lang.String],queue,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\akka\MeteredMessageQueue.java,io.mantisrx.master.akka.MeteredMessageQueue,"cleanUp/2[io.mantisrx.master.akka.ActorRef,io.mantisrx.master.akka.MessageQueue]",queue,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,getState/0,state,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,getTerminatedAt/0,terminatedAt,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,getLabelList/0,labelList,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,toString/0,jobId,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,toString/0,labelList,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,toString/0,terminatedAt,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,toString/0,name,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,toString/0,state,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,toString/0,submittedAt,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,toString/0,version,1
